Compressed Old number
12475521
12475522
12478068
15743845
15864153
19153392
19178433
19207137
19256656
19256657
19256658
20777181
20832023
20869201
22853473
22853474
22913602
22913603
22913605
22913606
23125968
23125969
23207777
23237268
23420264
25944024
25997509
25997510
52037563
52037571
52037573
52037574
52037578
52037579
52037584
52038697
52039261
84068279
84089951
84114505
84114506
84179759
84179762
84179763
84467786
84517030
84628487
84628488
84674099
